comment,language,platform,emotion,stance,label
ভাই এটা মনে হচ্ছে ফিলিস্তিনের গাজা উপত্যকা,Bangla,Facebook,Hope,Pro-Uprising,Positive
বেশি বেশি এ ভিডিওগুলা শেয়ার দেন। আমরা প্রবাসী দেশের অনেক কিছু জানিনা আপনারা এসব ভিডিও বেশি বেশি ভাইরাল করেন। ,Bangla,Facebook,Hope,Pro-Uprising,Positive
"বাংলাদেশের হেলিকপ্টার তো দেখছিলাম জলপাই রং এর , এই কালো হেলিকপ্টার আইল কোথা থেকে ?",Bangla,Facebook,Hope,Pro-Uprising,Positive
এই গুলো সাইন রবার বুলেট,Bangla,Facebook,Anger,Pro-Uprising,Negative
আসলে তাদের শত্রু কে বাংলাদেশের জনগণ!,Bangla,Facebook,Hope,Pro-Uprising,Positive
"""তোমরা ভয় করো সেই দিনকে, যেই দিন কেউ কারো উপকারে আসবে না।""",Bangla,Facebook,Neutral,Neutral,Neutral
আল্লাহ হায়েনাদের হাত থেকে দেশ টাকে তুমি রক্ষা করো,Bangla,Facebook,Hope,Pro-Uprising,Positive
ক্ষমতা লোভী এক প্রধানমন্ত্রী।,Bangla,Facebook,Hope,Pro-Uprising,Positive
যারা মানুষকে কস্ট দেয় আল্লাহ তাদের কখনও মাফ করবেনা। ,Bangla,YouTube,Neutral,Neutral,Neutral
এটাই কি তাহলে ব্যক্তি স্বাধীনতা?,Bangla,YouTube,Hope,Pro-Uprising,Positive
আল্লাহ তায়ালার গজব আসুক তাদের উপর। ,Bangla,YouTube,Hope,Pro-Uprising,Positive
আল্লাহ ছাড় দেন কিন্তু ছেড়ে দেন না,Bangla,YouTube,Hope,Pro-Uprising,Positive
ভয়ানক যুদ্ধ,Bangla,YouTube,Hope,Pro-Uprising,Positive
ভারতমুক্ত বাংলাদেশ চাই,Bangla,YouTube,Hope,Pro-Uprising,Positive
কতোটা হিংস্র হলে এমন কাজ করে,Bangla,YouTube,Hope,Pro-Uprising,Positive
দেশে আরেকটা যুদ্ধের প্রয়োজন,Bangla,YouTube,Hope,Pro-Uprising,Positive
মন্ত্রী বলল উপর থেকে হেলিকপ্টার দিয়ে পানি দিয়ে তিনি জনগণকে বাঁচিয়েছেন! ,Bangla,YouTube,Anger,Pro-Uprising,Negative
"জানিনা এই জুলুম কারীর লাশ কোথায় পরে থাকবে, আর কাক-পাখি মাংশ ছিরে ছিরে খাবে। আল্লাহ এদের কে বোঝার মতো জ্ঞান দান কর।",Bangla,YouTube,Sadness,Pro-Uprising,Positive
"আমার ভাই হত্যার বিচার চাই, রক্তে আগুন লেগেছে। ইতিহাসে ছাত্রদের কোনো পরাজয় নাই ইনশাআল্লাহ ",Bangla,YouTube,Anger,Pro-Uprising,Positive
আমার দেশের স্বাধীনতা,Bangla,YouTube,Hope,Pro-Uprising,Positive
স্বৈরাচারী সরকারের স্বৈরাচারী বাহিনীর কার্যক্রমকে প্রতিহত করুন সবাই। ,Bangla,YouTube,Anger,Pro-Uprising,Positive
বাংলাদেশের ৯০% গরিব দুঃখী মানুষ এখনো আওয়ামী লীগের উপর ভরসা রাখে।,Bangla,Facebook,Anger,Anti-Uprising,Negative
"রাজনৈতিক হামলা কে সংখ্যালঘু হামলা বলে, রাজনৈতিক ফায়দা নেওয়ার অভ্যাস এটা তোদের বহুৎ পুরানো অভ্যাস। এই সমস্ত নাটক এখন আর জনগণ খায় না।",Bangla,Facebook,Fear,Pro-Uprising,Positive
রাজনৈতিক হামলাও যদি হয়। হামলা করবি কেনো? তোরা কি জঙ্গি?,Bangla,Facebook,Fear,Anti-Uprising,Positive
আবার ও সুষ্ঠু নির্বাচন হলে আওয়ামীলীগ আবারো বিপুল ভোটে জয়লাভ করবে ইনশাআল্লাহ,Bangla,Facebook,Hope,Pro-Uprising,Negative
বাংলাদেশে হাজারো বাড়িতে হামলা লুটপাট টাকা লুটপাট হয়েছে এর কোন বিচার হয়নি বাংলাদেশে।,Bangla,Facebook,Anger,Pro-Uprising,Negative
চোর যদি মসজিদের ইমাম হতে পারে তাহলে আওয়ামী পেজের সংবাদ ও সত্য।,Bangla,Facebook,Anger,Neutral,Neutral
রাষ্ট্রদোহের মামলা আওয়ামীলীগের নামে করা উচিত। বিশ্বের কাছে বাংলাদেশকে ছোট করছে। ,Bangla,Facebook,Hope,Pro-Uprising,Positive
তবে আজকে পর্যন্ত কোথাও শুনতে পাই নাই সাবেক চোর বর্তমান মসজিদের ইমাম। অতএব আওয়ামী পেজের সংবাদ ও ভুয়া।,Bangla,Facebook,Anger,Pro-Uprising,Positive
"আজ প্রায় ৫ মাস,দেশে কোন জঙ্গি হামলা নেই, কোন জঙ্গি অভিযানের নাটক নেই, কারন নাটকের স্ক্রিপ্ট লেখক শ্বশুর বাড়ী আছেন।",Bangla,Facebook,Fear,Anti-Uprising,Positive
দেশে আইনের শাসন নেই,Bangla,Facebook,Anger,Pro-Uprising,Negative
এ-ই মুহূর্তে দেশরত্ন শেখ হাসিনা আপা`র হাতেই দেশ নিরাপদ,Bangla,Facebook,Anger,Anti-Uprising,Negative
এই দেশে জামাত ছাড়া কেউ নিরাপদ নয়,Bangla,Facebook,Anger,Pro-Uprising,Negative
"ক্ষমতা হারানো বেদনা আমরা বুঝি, জ্বালা রে জ্বালা অন্তরে জ্বালা!",Bangla,Facebook,Sadness,Pro-Uprising,Positive
তীব্র নিন্দা ও প্রতিবাদ জানাচ্ছি।,Bangla,Facebook,Hope,Pro-Uprising,Positive
বৈষ্যমবিরোদ্ধি বাংলাদেশে সব জাগায় এখন সুধু বৈষ্যম,Bangla,Facebook,Anger,Pro-Uprising,Negative
প্রশাসন নিরব কেন,Bangla,Facebook,Neutral,Neutral,Neutral
তীব্র নিন্দা ও ধিক্কার জানাই,Bangla,Facebook,Anger,Pro-Uprising,Positive
সবকিছুর বিচার একদিন হবে ইনশাআল্লাহ বাংলার মাটিতে,Bangla,Facebook,Hope,Pro-Uprising,Positive
দেখার কি কেউ নাই প্রশাসন নিরব কেন? মানুষ কি বাঁচতে পারবে না?,Bangla,Facebook,Neutral,Neutral,Neutral
"ইউনুসের অবৈধ সরকার ৬২৮ জনকে মৃত্যু পরবর্তী সাহায্য দিয়েছে। এর মধ্যে অনেকে নাকি ফিরে এসেছে, হার্ট অ্যাটাকে মারা গিয়েছিলো, গলায় রুটি আঁটকে মারা গিয়েছিলো, পতাকা উত্তলন করতে গিয়ে বিদ্যুদায়িত হয়ে মারা গিয়েছিলো, স্নাইপারের গুলিতে মারা গিয়েছিলো, সংঘর্ষে মারা গিয়েছিলো। ",Bangla,Facebook,Anger,Anti-Uprising,Negative
বড় একটা অংশ ৫ই আগষ্টে বিকেল বেলায় থানা আক্রমণ ও লুট করতে গিয়ে মারা গিয়েছিলো।,Bangla,Facebook,Anger,Pro-Uprising,Negative
আপনারা নিজেরাই মেরে আবার দোষ দিচ্ছেন না তো কারণ আপনাদের তো স্বভাব সেকাল থেকেই।,Bangla,Facebook,Anger,Pro-Uprising,Negative
হিন্দু সব সময় অত্যাচারিত এই দেশে। আওয়ামিলীগ আর বিএনপি নাই তাতে। গত ১৬ বছরে হিন্দু অত্যাচারের কোনো খবর এই আওয়ামী পেইজে দেখি নাই এখন শুধু হিন্দু অত্যাচারের পোস্ট দিচ্ছে। এই বাংলাদেশে হিন্দু সবসময় অত্যাচারিত আর সব সময় সংখ্যালঘুদের ব্যবহার করা হয়েছে।,Bangla,Facebook,Anger,Pro-Uprising,Negative
আওয়ামী লীগ এখন তাদের বাবা হিন্দুদেরকে ঢাল হিসেবে ব্যবহার করে নাটক করছে।,Bangla,Facebook,Hope,Anti-Uprising,Positive
হিন্দুরা বুঝতে পারেননি আওয়ামী লীগের জন্ম সঠিক নয়,Bangla,Facebook,Hope,Anti-Uprising,Positive
"দেশে চলছে জঙ্গিপনা, মানুষের জানমালের নিরাপত্তা নেই।",Bangla,Facebook,Fear,Anti-Uprising,Negative
একটা দুঃশাসনের রাজত্ব চলছে। বাংলাদেশের মানুষকে ধংস করে ছাড়বে।,Bangla,Facebook,Anger,Pro-Uprising,Negative
"এই ধরনের সস্থা নাটক এ হবে না,আরো সুন্দর করে করতে হবে, মানুষ এখন আগের মতো বোকা নেই। ",Bangla,Facebook,Hope,Pro-Uprising,Positive
প্রশাসন নিরব ভুমিকা পালন করছেন।,Bangla,Facebook,Anger,Pro-Uprising,Negative
বাংলাদেশের সংখ্যালঘু মানুষরা ভালো নেই ,Bangla,Facebook,Anger,Pro-Uprising,Negative
"এরা সংখ্যালঘু নয়,এর হচ্ছে খুনি হাসিনার দোসর।",Bangla,Facebook,Anger,Pro-Uprising,Positive
আওয়ামীলীগ নিজেই সংখ্যালগু এখন হিন্দুদের উপর ভর করে চলছে। ,Bangla,Facebook,Hope,Pro-Uprising,Positive
আর কত রক্ত ঝরবে ভালো নাই বাংলাদেশ।,Bangla,Facebook,Hope,Pro-Uprising,Positive
"যৌবনে প্রথম প্রেম, বাংলাদেশ ছাত্রলীগ ৭৭ তম প্রতিষ্ঠাবার্ষিকী সফল হোক। জয় বাংলা",Bangla,Facebook,Hope,Anti-Uprising,Negative
কিসের দুর্বৃত্ত বিএনপি জামাতের ক্যাডার।,Bangla,Facebook,Anger,Pro-Uprising,Negative
গুজব ছড়ানো ছাড়া আর কাজ নাই,Bangla,Facebook,Hope,Pro-Uprising,Positive
আজ প্রায় ৫ মাস হয়ে গেছে কারোর ব্যাগের পকেট থেকে পুলিশ ইয়াবা উদ্ধার করে না। এটা কি মানা যায়? এভাবে কি একটা দেশ চলতে পারে?,Bangla,Facebook,Hope,Pro-Uprising,Positive
আওয়ামী লীগ এইসব হিন্দু নির্যাতনের প্রতিবাদ কেন করে না?,Bangla,Facebook,Anger,Anti-Uprising,Positive
বাহ রাজনৈতিক আর চাকরি ক্ষেত্রে ১০০% জাতীয়তা আর কিছু হলে সংখ্যা লঘু,Bangla,Facebook,Hope,Pro-Uprising,Positive
চোর গৃহস্থকে হুমকি দেওয়ার মত,Bangla,Facebook,Anger,Pro-Uprising,Positive
"তারা জীবনে কোনোদিন পাকিস্তান যায় নাই, তারপরও তারা পাকিস্তানি। আর তোমরা ভারত পালিয়ে গেছ, এবং বাংলাদেশ কে ভারতের কাছে বিক্রি করে দিয়েছ, তোমরা দেশ প্রেমিক।",Bangla,Facebook,Hope,Pro-Uprising,Positive
দালালদের বিরুদ্ধে যুদ্ধ,Bangla,Facebook,Anger,Pro-Uprising,Positive
তুই পাকিস্তানের নষ্ট বীর্যের সৃষ্টি।,Bangla,Facebook,Hope,Pro-Uprising,Negative
মুজিবের বাংলায় রাজাকারের ঠাই নাই,Bangla,Facebook,Anger,Anti-Uprising,Negative
সারাদিন হাত পেতে ইন্ডিয়া থেকে খাদ্য পণ্য নিয়ে আসিস আবার ইন্ডিয়ার সাথে যুদ্ধ মারাইতে আসছিস,Bangla,Facebook,Anger,Pro-Uprising,Negative
"এরা তু দিব্বি বাংলাদেশে অবস্থান করতাছে, আর তুমরা তো হিন্দুস্থান বসবাস করতেছো। ",Bangla,Facebook,Hope,Pro-Uprising,Positive
ভারতের দালাল ও ভারতের বিরুদ্ধে,Bangla,Facebook,Anger,Pro-Uprising,Positive
ভারতের দালাল হলো আওয়ামী লীগ,Bangla,Facebook,Anger,Pro-Uprising,Positive
ফ্যসিস্ট বাকশালি লীগের বিরুদ্ধে যুদ্ধ।,Bangla,Facebook,Hope,Pro-Uprising,Positive
বঙ্গবন্ধুর বাংলায় পাকিস্তানের ঠাই নাই জয় বাংলা,Bangla,Facebook,Anger,Anti-Uprising,Negative
ভারত যাও দালাল বাহিনী,Bangla,Facebook,Anger,Pro-Uprising,Positive
বাংলাদেশে কোনো রেন্ডিয়ার দালালের ঠাই নাই,Bangla,Facebook,Anger,Pro-Uprising,Positive
একমাত্র আপনিই বাস করবেন দেশে!,Bangla,Facebook,Neutral,Neutral,Neutral
আসেন প্লিজ। পালালেন কেন?,Bangla,Facebook,Hope,Pro-Uprising,Positive
এই যুদ্ধে ওরাই পরাজিত হবে। ,Bangla,Facebook,Hope,Pro-Uprising,Positive
তাইলে ইন্ডিয়ায় পাঠিয়ে দেওয়া হোক,Bangla,Facebook,Hope,Pro-Uprising,Positive
সে জন্যই তো ভারতে গিয়ে পালিয়ে আছে!,Bangla,Facebook,Hope,Pro-Uprising,Positive
ইন্ডিয়া বাদি রাজনৈতিক বন্ধ কর।,Bangla,Facebook,Hope,Pro-Uprising,Positive
অন্যায়ের বিরুদ্ধে যুদ্ধের কথা বলা হয়েছে,Bangla,Facebook,Hope,Pro-Uprising,Positive
খুব দ্রুত সময়ের মধ্যে এদের জনগন বিতাড়িত করবে ইনশাআল্লাহ।,Bangla,Facebook,Hope,Pro-Uprising,Positive
যুদ্ধ ফেরাউন বাহিনী ভারতের দালালদের বিরুদ্ধে।,Bangla,Facebook,Anger,Pro-Uprising,Positive
এই ভুল আপনাদের আর বিএনপির,Bangla,Facebook,Anger,Pro-Uprising,Negative
"বাংলাদেশের নাগরিকদের বাঁচার অধিকার নিয়ে কথা বলার সাহস হয় কি করে? খুনি কোথাকার, স্বাধীনতা চোরদের গলায় এগুলো মানায় না।",Bangla,Facebook,Anger,Pro-Uprising,Positive
বিএনপি +আওয়ামী লীগ। নির্মূল করার যুদ্ধ।,Bangla,Facebook,Hope,Anti-Uprising,Positive
চাটুকারিতা দের বিরুদ্ধে,Bangla,Facebook,Hope,Pro-Uprising,Positive
মনে হয় গনহত্যাকারীদের বিরুদ্ধে যুদ্ধের কথা বলতেছে।না হয় যারা দেশকে ইন্ডিয়ার অংগরাজ্য বানাতে চেয়েছিল তাদের বিরুদ্ধে বলতেছে।না হয় যারা সেনাবাহিনীর চোকস অফিসারদের মেরেছে তাদের বিরুদ্ধে যুদ্ধের কথা বলতেছে।,Bangla,Facebook,Anger,Pro-Uprising,Positive
যাদের এই কথায় জ্বলতেছে তারা মনে হয় এই কুকাম গুলো করেছিল।,Bangla,Facebook,Hope,Pro-Uprising,Positive
শিবিরও দেখা যাচ্ছে ছাএলীগের আদর্শ পালন করতেছে।,Bangla,Facebook,Anger,Pro-Uprising,Negative
এই দেশবিরোধী এদেরকে পালন করেছে বিএনপি যেমন ছাত্রশিবিরের পালনকারী ছাত্রলীগ।  দুঃখজনক। ,Bangla,Facebook,Anger,Anti-Uprising,Negative
"শাহবাগী,বাকশাল কায়েম কারীদের বিরুদ্ধে যুদ্ধ। আওয়ামী ফ্যাসিজমের বিরুদ্ধে যুদ্ধ। ",Bangla,Facebook,Hope,Pro-Uprising,Positive
ফ্যাসিস্ট বাকশালি উৎখাতের যুদ্ধ,Bangla,Facebook,Hope,Pro-Uprising,Positive
ইন্ডিয়ার দালালের বিরুদ্ধে যুদ্ধ ঘোষণা,Bangla,Facebook,Anger,Pro-Uprising,Positive
ফ্যসিস্ট বাকশালি লীগের বিরুদ্ধে যুদ্ধ। ,Bangla,Facebook,Hope,Pro-Uprising,Positive
তোদের পঁচা মাথার বিরুদ্ধে,Bangla,Facebook,Hope,Pro-Uprising,Positive
১৭ বছর জামাত আর শিবিরের টেবলেট খাইতে খাইতে এখনো তোমাদের আমাষা ভালো হয় নাই আর মরন পর্যন্ত হবেও না,Bangla,Facebook,Anger,Pro-Uprising,Negative
তোর মার অধিকার নেই এজন্য পালিয়ে গেছে মুদির কাছে।,Bangla,Facebook,Hope,Pro-Uprising,Positive
ছাত্র লীগের বিরুদ্ধে যুদ্ধ,Bangla,Facebook,Hope,Pro-Uprising,Positive
"ক্ষমা করলে আবারো আমাদের ভবিষ্যৎ প্রজন্ম ১৫ আগষ্ট , ৫ আগষ্টের মতন পরিস্থিতির স্বীকার হবে ।",Bangla,Facebook,Hope,Pro-Uprising,Positive
জান্নাত বিক্রেতা অনেক কিছুই বলতে পারে! ইসলামের মোনাফেক,Bangla,Facebook,Anger,Pro-Uprising,Negative
পাকি জারজদের বাংলায় ঠাঁই হবে না- ইনশাআল্লাহ,Bangla,Facebook,Hope,Pro-Uprising,Negative
২৪ এর হাজার হাজার মানুষ খুন করেছে যারা তাদের অধিকার আছে? ,Bangla,Facebook,Anger,Pro-Uprising,Positive
টাকা পাচার কারীদের বিরুদ্ধে,Bangla,Facebook,Hope,Pro-Uprising,Positive
তোগো আব্বার দেশ তোরা থাক,Bangla,Facebook,Anger,Pro-Uprising,Negative
এদেশে আর কোন ভারতীয়  দের দেশ বিরুধী ষড়যন্ত্র করার সুযোগ দিবোনা।,Bangla,Facebook,Hope,Anti-Uprising,Positive
এ দেশের জনগণ সেটার উওর দীবে?,Bangla,Facebook,Neutral,Neutral,Neutral
এ দেশে মানুষ কে আর বোকা বানানো যাবেনা।,Bangla,Facebook,Hope,Pro-Uprising,Positive
ছাত্রলীগ এসেছে রাজপথ জেগেছে।,Bangla,Facebook,Anger,Anti-Uprising,Negative
ভারতীয় দালালদের বিরুদ্ধে যুদ্ধ।কথা ক্লিয়ার।,Bangla,Facebook,Anger,Pro-Uprising,Positive
গত ২৪ সালের সেরা মুহূর্ত আপা পালিয়ে গেছে,Bangla,Facebook,Hope,Pro-Uprising,Positive
ভারতীয় দালালদের বিরুদ্ধে দেশব্যাপী যুদ্ধ চলছে চলবে।,Bangla,Facebook,Anger,Pro-Uprising,Positive
আমরা না বল্লে কি হবে। ওরাই এই দেশে থাকবে ইতিহাস এটাই বলে,Bangla,Facebook,Hope,Pro-Uprising,Negative
ইনারাই আগামীদিনের ভবিষ্যৎ,Bangla,Facebook,Hope,Pro-Uprising,Positive
এরা বাংলাদেশের অবৈধ নাগরিক,Bangla,Facebook,Anger,Pro-Uprising,Negative
ভারতেদের অধিকার আছে এখানে। ,Bangla,Facebook,Anger,Pro-Uprising,Negative
এই কারনেই আপনারা মামার বাড়ি আর গর্তে বসবাস করেন!,Bangla,Facebook,Anger,Pro-Uprising,Negative
গুষ্টী ধরে ইউক্রেন পাঠানো দরকার এসব নোংরা ফিতনাবাজদের!,Bangla,Facebook,Anger,Pro-Uprising,Negative
আওয়ামী লীগ নামের সন্ত্রাসের বিরুদ্ধে,Bangla,Facebook,Hope,Anti-Uprising,Positive
আপনাদের আছে আসেন!,Bangla,Facebook,Neutral,Neutral,Neutral
ভারতের জারজদের বিরুদ্ধে যুদ্ধ।,Bangla,Facebook,Hope,Pro-Uprising,Positive
ফাউল কথা বলে কি লাভ।,Bangla,Facebook,Neutral,Neutral,Neutral
ইনশাআল্লাহ এই জিহাদ জামাত বিএনপি সব এক। তাছাড়া বাংলাদেশ এ থাকার সবার অধিকার আছে। ,Bangla,Facebook,Hope,Neutral,Neutral
কম্বল চোরের বিরুদ্ধে যুদ্ধ,Bangla,Facebook,Anger,Pro-Uprising,Positive
চুপ থাক ভারতীয় মাল,Bangla,Facebook,Hope,Pro-Uprising,Positive
জামাত শিবির মানেই ইসলাম ধ্বংসকারী,Bangla,Facebook,Anger,Pro-Uprising,Negative
ফ্যাসিস্ট দুর্নীতিবাজ ভারতের দালালদের বিরুদ্ধে।,Bangla,Facebook,Anger,Pro-Uprising,Positive
এই যুদ্ধ হবে বর্তমান শিক্ষা ব্যবস্থার বিরুদ্ধে,Bangla,Facebook,Anger,Pro-Uprising,Negative
"একাত্তরের হাতিয়ার ,গর্জে উঠো আরেকবার",Bangla,Facebook,Anger,Pro-Uprising,Negative
আওয়ামী লীগ বাংলাদেশ থেকে তাড়াতে হবে। ইসলামের চির শত্রু হিন্দুদের বন্ধু তোমরা সবাই তোমার মা হাসিনার সাথে ইন্ডিয়া চলে যাও। ,Bangla,Facebook,Hope,Anti-Uprising,Positive
ভারতে ভিসা নিয়ে যাওয়া উচিত একেবারে আপার মতোন,Bangla,Facebook,Anger,Pro-Uprising,Negative
গণহত্যাকারীদের বিরুদ্ধে যুদ্ধ,Bangla,Facebook,Anger,Pro-Uprising,Positive
মুদ্রার এপিঠ ওপিঠ আর কত যুগ দেখব?,Bangla,Facebook,Neutral,Neutral,Neutral
পাকিস্তানিদের অধিকার আছে কিনা জানিনা।,Bangla,Facebook,Neutral,Neutral,Neutral
তবে খুনিদের বাংলাদেশে বসবাস করার অধিকার নেই।,Bangla,Facebook,Anger,Pro-Uprising,Positive
বিশ্বের মধ্যে সবচেয়ে ভালো মানুষ,Bangla,Facebook,Neutral,Neutral,Neutral
খুব শান্ত মনে হয় এ-ই সেই মুরব্বি  ,Bangla,Facebook,Neutral,Neutral,Neutral
আমি বুঝি নাহ একটা লোক এতো লোক মারার পরও কেন মানুষ তাকে চায়,Bangla,Facebook,Hope,Pro-Uprising,Positive
এই হলো দাজ্জাল এর যোগে আমরা চলে আসছি। কারন দাজ্জাল ও এতো অপরাধ করে মানুষ এর কাছে ভালো মানুষ সাজবে। ,Bangla,Facebook,Hope,Pro-Uprising,Positive
রাইট তারাই পরিকল্পিত ভাবে আগুন লাগিয়েছে,Bangla,Facebook,Fear,Pro-Uprising,Negative
পাপে কিন্ত ছাড়েনা বাপেরে! আর সত্য কে নাকি ঢেকে রাখা যায় না কিছুতে! তাই তোমরা ৫৪ বছরের স্বাধীনতা অর্জন করা বাংলাদেশটাকে নিয়ে যে সমস্ত ষড়যন্ত্র করছো সেটা মহান সুবহানাল্লাহ তায়ালা কোনো দিনেই সফল হতে দিবেনা।,Bangla,Facebook,Hope,Anti-Uprising,Negative
"আ'লীগ মিথ্যা ও গুজবকে একটা শিল্পে পরিনত করে ফেলেছে, কিন্তু তারা আদৌ জানে না যে, এই মিথ্যে আর গুজবের জন্য তারা গনবিরোধী আর গনবিচ্চিন্ন হয়ে দেশ ছাড়া হয়েছে।",Bangla,Facebook,Hope,Pro-Uprising,Positive
সন্ত্রাসী ক্ষমতা পেয়ে জনগণের বহুত কষ্টের টাকার অর্থ সম্পদ ক্রিমিনাল হিংস্র মনোভাব নিয়ে লুটপাট করে জ্বালিয়ে পুড়িয়ে ধ্বংস করে দিল সন্ত্রাসী সরকার। ,Bangla,Facebook,Anger,Anti-Uprising,Negative
"কিছু লোক আছে যারা সত্য শুনবে, সত্য দেখবে, সত্য বুঝবে কিন্তু তবুও মুখে সত্যকে অস্বীকার করবে! আসলে এদের জন্মই যেন আজন্মের পাপ!",Bangla,Facebook,Hope,Pro-Uprising,Positive
সচিবালার ঘটনা যেই করে থাকুক আল্লাহ থেকে তার শাস্তি হওয়া উচিত,Bangla,Facebook,Anger,Neutral,Neutral
নিজেরা যেমন ২১ শে আগস্টের গ্রেনেড হামলা পরিকল্পিত ভাবে করেছেন ঠিক তেমন সকলকে মনে হয়,Bangla,Facebook,Fear,Pro-Uprising,Positive
এসবকিছুর বিচার করা হবে,Bangla,Facebook,Hope,Pro-Uprising,Positive
নিজেদের আমলে এভাবে বাক স্বাধীনতা দিয়ে দেখতে।,Bangla,Facebook,Hope,Pro-Uprising,Positive
এরা তো আপনাদের দেখানো পথেই হাঁটছে।,Bangla,Facebook,Hope,Pro-Uprising,Positive
আগুন লাগার সাথে সাথেই আমরা এটা জানি এবং বুঝি। এ দেশের সচেতন জন গণ বুঝে। ,Bangla,Facebook,Fear,Pro-Uprising,Positive
তুমি রিয়ালিটি মাইনা নাও! কারণ ১২ টা তোমার বেজে গেছে!,Bangla,Facebook,Hope,Pro-Uprising,Positive
তোরা নিজের দোষ অন্যের ঘাড়ে চাপাতে এক্সপার্ট। নিজের দুর্নীতি ঢাকতে সচিবালয় সব ফাইল পুড়িয়ে দিয়ে এখন আরেকজনের ঘরে দোষ চাপাও। এইতো তোরা গুজব লীগ।,Bangla,Facebook,Hope,Pro-Uprising,Positive
"এস আলম এতো টাকা কিভাবে পাচার করলো এটার একটা অনুসন্ধান রিপোর্ট দিবেন। আওয়ামী আমলে ঘটা সব অভিযোগ এর তদন্ত রিপোর্ট দিন, এখন কি হচ্ছে এসব না দিলেও চলবে। আমরা আগে কিভাবে সাগর চুরি হয়েছে তা জানতে চাই। এখন কিভাবে পুকুর চুরি হচ্ছে তা জানার ইচ্ছে নেই।",Bangla,Facebook,Hope,Pro-Uprising,Positive
কেন ভাই পুকুর চুরির জানার ইচ্ছে নেই কেন? পুকুর চুরির মাধ্যমেই তো সাগর চুরি হয়। ,Bangla,Facebook,Neutral,Neutral,Neutral
"এখন মানুষের মধ্যে সচেতনতা বিদ্যমান। মানুষ এখন অনেক কিছুই বুঝতে শিখেছে। তাই আওয়ামীলীগ এর উচিৎ নিজেদের বিরুদ্ধে উঠা অভিযোগ আগে ক্লিয়ার করা। এখন যারা আছেন তাদের দ্বারা সাগর চুরি সম্ভব নয়। রাজনৈতিক দল ছাড়া খাল,বিল, নদি, নালা, সাগর ইত্যাদি চুরি সম্ভব নয়।",Bangla,Facebook,Neutral,Neutral,Neutral
এদেশে যত ক্ষতি হয়েছে তার সকল দায়ভার ড.ইউনুসের।সকল স্হাপনা মেরামতের জন্য ইউনুস টাকা প্রদান করবে এবং প্রদান করতে বাধ্য।সকলে আওয়াজ তুলুন।,Bangla,Facebook,Anger,Anti-Uprising,Negative
সকাল বিকাল সরকার বর্তমান বাংলাদেশ সরকার। যখন যায় মন চায় তাই বলে যাচ্ছে,Bangla,Facebook,Anger,Anti-Uprising,Negative
আলেমদের উপর জুলুমের স্টিম রোলার চালিয়েছ।,Bangla,Facebook,Anger,Pro-Uprising,Negative
সবাইকে নিজের মতো মনে করেন!,Bangla,Facebook,Neutral,Neutral,Neutral
"তোদেরকে বলে ছিলাম আল্লাহ ছাড় দেন,কিন্তু ছেড়ে দেন না।",Bangla,Facebook,Hope,Pro-Uprising,Positive
ছাত্রলীগ চুপ করা ভাল।১৬ বছর অনেক চুরি করেছ। ,Bangla,Facebook,Hope,Anti-Uprising,Positive
"শিক্ষা,শান্তি,প্রগতি'র ধারক ও বাহক সংগঠন বাংলাদেশ ছাত্রলীগ ",Bangla,Facebook,Anger,Anti-Uprising,Negative
বাংগালী এখনো মুসলমান হয়নি,Bangla,Facebook,Anger,Pro-Uprising,Negative
সচিবালয়ে আগুন লাগার ঘটনাটা পুরাটাই উপদেষ্টাদের সাজানো নাটক.,Bangla,Facebook,Fear,Pro-Uprising,Negative
ক্ষমতা হারিয়ে এখন পাগল হয়ে গেছে আওয়ামী লীগ আর কত বোকা বানাবে সাধারণ জনগণকে,Bangla,Facebook,Sadness,Anti-Uprising,Positive
এতে কোন সন্দেহ আছে কি?,Bangla,Facebook,Neutral,Neutral,Neutral
নাটকটা জুনায়েদ আহমেদ পলকের মত হয়ে গেলো।ইন্টারনেট বন্ধ করি নাই বন্ধ হয়ে গেছে। আর নথি পুড়েও পুড়লো না,Bangla,Facebook,Hope,Pro-Uprising,Positive
সবকিছু হিসাব নেয়া হবে শুধু সময়ের অপেক্ষা মাএ,Bangla,Facebook,Hope,Pro-Uprising,Positive
"স্পষ্ট, পানির মতো পরিষ্কার এটা তাদের পরিকল্পিত",Bangla,Facebook,Anger,Pro-Uprising,Negative
দেশ বিরোধী ষড়যন্ত্র কারীদের ষড়যন্ত্রের একটি অংশ সচিবালয়ের আগুন তথ্য প্রমান লোপাট করার উদ্দেশ্য ই এই জঘন্য নোংরা ঘটনা ঘটানো হয়েছে,Bangla,Facebook,Fear,Anti-Uprising,Positive
ক্ষমতায় গেলে দেখি সবাই আওয়ামীলীগের মতো হয়ে যায় কেনো  ,Bangla,Facebook,Anger,Pro-Uprising,Negative
যদি তাই প্রকাশ হয় তাহলে আওয়ামী লীগ এই সিম্পল হিসাব টা কেনো বুঝতেছে না? এরা না কি আবার পুরানো রাজনৈতিক দল।,Bangla,Facebook,Hope,Anti-Uprising,Positive
যে উদ্দেশ্য কে বা কারা এটি ঘটিয়েছে তাদের নাকের ডগাই পানি রাখতেই এরকম তথ্য প্রকাশ করা হচ্ছে।,Bangla,Facebook,Hope,Pro-Uprising,Positive
আপা থাকলে এমন হতো না।,Bangla,Facebook,Anger,Pro-Uprising,Negative
